Company Name,Key ID,Address Line 1,City,Phone,URL,Revenue (As Reported),Employees,Match Status,CRM Company Name,CRM Group ID,CRM Company ID
Union Defence Force,123228858,Po Box 128889,Abu Dhabi,24415300,,,90100.0,,,,
Arabtec Holding PJSC,42386653,Al Muhairy Centre,Abu Dhabi,971-2-3336666,http://www.arabtecholding.com,8293031300.0,42000.0,,,,
Al Jaber Transport & General Contracting Llc,123046055,Po Box 2175,Abu Dhabi,25554300,,,40000.0,,,,
Arabian Construction Company - W L L,122882369,Po Box 2113,Abu Dhabi,26771225,,,30000.0,,,,
Abu Dhabi Group,104158751,PO Box 44222,Abu Dhabi,971-26266406,http://www.abudhabiigroup.com,71250203000.0,25000.0,,,,
EMKE Group LLC,42385871,PO Box 4048,Abu Dhabi,971-2-4182000,http://www.emkegroup.com,19830000000.0,22000.0,,,,
National Central Cooling Co PSC,44600285,"Abu Dhabi Mall, West Tower, 13th Floor,",Abu Dhabi,971-2-6455007,http://www.tabreed.ae,1130612100.0,16116.0,,,,
Abu Dhabi Water & Electricity Authority,107923724,,Abu Dhabi,971-26943333,http://www.adwea.ae,,15000.0,,,,
Al Jaber Group LLC,42385943,PO Box 2175,Abu Dhabi,971-2-5554300,http://www.aljaber.com/,28297900000.0,15000.0,,,,
Abu Dhabi National Oil Company,42385736,"Zayed The 1 Street,",Abu Dhabi,971-2-6020000,http://www.adnoc.ae/,30850000000.0,14000.0,,,,
Abu Dhabi National Hotels Company - Compass Middle East - L L C,123156937,Po Box 48606,Abu Dhabi,24447228,,,14000.0,,,,
W S Atkins & Partners Overseas,42385786,Po Box 7562,Abu Dhabi,26249100,http://www.atkinsglobal.com,1775500000.0,13211.0,,,,
Mubadala Technology Investments LLC,106299382,HQ Building,Abu Dhabi,971-2-4134333,http://www.mubadala.com,3500000000.0,13000.0,,,,
The National Petroleum Construction Company,42386020,PO Box 2058,Abu Dhabi,971-25549000,http://www.npcc.ae,562900020.0,10000.0,,,,
Al Jaber Energy Services LLC,98725641,Al Jaber Building,Abu Dhabi,971-2-5546550,http://ajes.ae/,3897899900.0,10000.0,,,,
Abu Dhabi National Hotels,42385734,Abu Dhabi National Hotels Building,Abu Dhabi,971-2-4447228,http://www.adnh.com,1340166000.0,9156.0,,,,
Galfar Engineering & Contracting WLL,42385891,PO Box 72218,Abu Dhabi,971-26336111,http://www.emirates.net.ae,,9000.0,,,,
Etihad Airways PJSC,48960720,PO Box 35566,Abu Dhabi,+971 2 511 0000,http://www.etihadairways.com,4084500000.0,9000.0,,,,
Gac Marine Equipment Industry & Maintenance - L L C,123278891,Po Box 8101,Abu Dhabi,25014900,,,8000.0,,,,
National Petroleum Construction Company,123246169,Po Box 2058,Abu Dhabi,25549000,,,7130.0,,,,
United Arab Emirates Money Exchange Centre - L L C - Abu Dhabi,123730653,Po Box 170,Abu Dhabi,26105555,,,7000.0,,,,
International Engineering Technology L L C,120030328,Po Box 31859,Abu Dhabi,26816770,http://www.g4s.com,,7000.0,,,,
Expeditors Intertnational Llc.,122048132,Po Box 51473,Abu Dhabi,26723003,,,7000.0,,,,
Group 4 Securicor Security Services UAE L.L.C.,48609243,PO Box 31859,Abu Dhabi,971-02 4491510,http://www.g4s.ae,918599980.0,6528.0,,,,
General Information Authority,122940147,Po Box 3870,Abu Dhabi,26160444,,,6500.0,,,,
Fair Green International Landscaping,50835923,PO Box 6391,Abu Dhabi,971-02 6337002,http://www.fairgreen-intl.com/contactus.asp,3330300000.0,6000.0,,,,
Al Jaber L E G T Engineering & Contracting (Alec) L L C,123332911,Po Box 27639,Abu Dhabi,25567540,,,6000.0,,,,
West Coast Cleaning & Environmental Services Company - L L C,122461398,Po Box 5724,Abu Dhabi,6266676,http://www.westcoastme.com,,6000.0,,,,
Actco General Contracting Company W L L,122044256,Po Box 2361,Abu Dhabi,6812255,,,6000.0,,,,
M+W Singapore Pte Ltd - Abu Dhabi,122044368,Po Box 61637,Abu Dhabi,26538051,,,6000.0,,,,
Eastern Bechtel Company Limited,133360996,Po Box 2661,Abu Dhabi,26998400,,,5300.0,,,,
Samsung-Saif Bin Darwish Jv,122461991,Po Box 53581,Abu Dhabi,24949600,,800000000.0,5200.0,,,,
Al Dar Laing O'Rouke Construction - L L C,123262644,Po Box 110800,Abu Dhabi,25017017,,,5000.0,,,,
Noor Al Khaleej Trading Company - W L L,123282622,Po Box 45261,Abu Dhabi,26273270,,4931500.0,5000.0,,,,
Drake & Scull International L.L.C,121726456,Airport Road Opposite Abu Dhabi Chamber of comm,Abu Dhabi,971-26226005,,,5000.0,,,,
Al Geemi & Partners Contracting Company W L L,123284616,Po Box 2877,Abu Dhabi,26328438,,,5000.0,,,,
Emirates Holdings Electronics And Communications,122882385,Po Box 34895,Abu Dhabi,26449088,,,5000.0,,,,
Samsung C&T Corporation - Abu Dhabi,123249948,Po Box 42654,Abu Dhabi,26671707,,,5000.0,,,,
Al Nasser Holdings,42386004,PO Box 46611,Abu Dhabi,971-02 6391100,http://www.anholdings.com,5131000000.0,5000.0,,,,
Bam International,92507447,P.O. Box 25685,Abu Dhabi,26444100,http://www.interbeton.nl,,5000.0,,,,
NMC Hospitals,124754330,Electra Street,Abu Dhabi,971-26332255,,,5000.0,,,,
Al Hamed Enterprises,43523276,PO Box 592,Abu Dhabi,971-02 6675555,http://www.alhamed.com,17032100000.0,4600.0,,,,
Jan De Nul Dredging Limited - Abu Dhabi,123262653,Po Box 73422,Abu Dhabi,26267234,,,4500.0,,,,
Square General Contracting Company - L L C,121882170,Po Box 46575,Abu Dhabi,26670650,,,4000.0,,,,
